index,speaker,start,end,duration,text
56,Leandro Disconzi (passenger),231.765,233.425,1.660,chau uno no voy a salir de acá entonces vamos volver hasta ahora
57,Leandro Disconzi (passenger),234.205,235.685,1.480,tomara que hubiera con alguien aquí
58,Comandante (Piloto) Ruiz,241.645,243.705,2.060,"Bem -vindos, Alatã. É um prazer tê -los a bordo."
59,Comandante (Piloto) Ruiz,244.485,252.725,8.240,"Estamos próximos da nossa partida e, para agilizá -la, solicitamos que deixem o corredor livre que ocupe o seu assento rapidamente e, de forma a facilitar o embarque dos demais passageiros."
60,Comandante (Piloto) Ruiz,253.025,261.105,8.080,"Por favor, coloquem os seus pertences menores, como bolsas, sacolas e mochilas, embaixo do assento à sua frente. Isso inclui garrafas levadas somente para as bagagens maiores."
61,Comandante (Piloto) Ruiz,261.644,268.125,6.481,"Para maximizar o uso do espaço destinado às bagagens maiores, solicitamos que acomodem de forma lateralizada nos compartimentos superiores."
62,Comandante (Piloto) Ruiz,269.225,276.225,7.000,"Passageiros sentados na primeira fileira e assentos nas saídas de emergência, pedimos que acomodem toda a sua bagagem nos compartimentos superiores. Muito obrigado."
63,Passengers (multiple),284.645,287.585,2.940,"Ah, não tenho responsabilidade para mim."
64,Passengers (multiple),318.005,318.705,0.700,"É bem,"
65,Passengers (multiple),319.685,320.525,0.840,não é.
66,Stewardess (Latam),335.785,335.985,0.200,Gracias
67,Passengers (multiple),348.605,352.865,4.260,"Pois é, não, em relação a isso aí, eu não tenho dúvida nenhuma, viu? De"
68,Passengers (multiple),353.045,362.905,9.860,"suporte para os meninos lá, não precisa, ele nem vai conseguir atender. Eu ia para assistir os jogos lá, sabe? Aí, uns amigos de outros times e tal,"
69,Passengers (multiple),363.205,365.165,1.960,aí eu ia para assistir os jogos mesmo.
70,Passengers (multiple),365.385,373.045,7.660,"Mas, aí, nessa ideia, vai mais gente, divide, vai quatro pessoas, divide carro, divide hospitagem e aí está tudo certo. Vale a pena."
71,Passengers (multiple),373.285,380.705,7.420,"Eu comprei passagem barata, porque eu comprei R $17 ,00. Agora, se for para dar"
72,Passengers (multiple),381.045,385.145,4.100,"suporte para o cliente, aí não tem. Não tem porquê, não."
73,Leandro Disconzi (passenger),386.065,390.185,4.120,Yo creo que aquí.
74,Leandro Disconzi (passenger),392.085,392.885,0.800,Yo creo que aquí.
75,Leandro Disconzi (passenger),392.685,392.825,0.140,Yo creo que aquí.
76,Joaquin Barraza (Latam security staff),397.325,397.985,0.660,"Buenas, mi nombre es Joaquín, soy del área de seguridad de Latam, necesito que me acompañe un segundito"
77,Joaquin Barraza (Latam security staff),398.125,398.585,0.460,"Buenas, mi nombre es Joaquín, soy del área de seguridad de Latam, necesito que me acompañe un segundito"
78,Joaquin Barraza (Latam security staff),398.665,399.485,0.820,"Buenas, mi nombre es Joaquín, soy del área de seguridad de Latam, necesito que me acompañe un segundito"
79,Joaquin Barraza (Latam security staff),399.865,401.365,1.500,"Buenas, mi nombre es Joaquín, soy del área de seguridad de Latam, necesito que me acompañe un segundito"
80,Joaquin Barraza (Latam security staff),401.865,403.445,1.580,"Buenas, mi nombre es Joaquín, soy del área de seguridad de Latam, necesito que me acompañe un segundito"
81,Leandro Disconzi (passenger),403.445,408.485,5.040,porque no yo no voy a salir del avión el avión va a salir y yo tengo un vuelo que yo pagué por el vuelo
82,Joaquin Barraza (Latam security staff),408.685,410.885,2.200,El capitán decidió no embarcarlo en este vuelo.
83,Leandro Disconzi (passenger),410.905,417.965,7.060,"Mira, va a tener que me sacar acá a la fuerza, porque yo tengo que entender por qué yo no puedo volar."
84,Leandro Disconzi (passenger),418.045,418.465,0.420,"Mira, va a tener que me sacar acá a la fuerza, porque yo tengo que entender por qué yo no puedo volar."
85,Leandro Disconzi (passenger),419.065,420.205,1.140,"Mira, va a tener que me sacar acá a la fuerza, porque yo tengo que entender por qué yo no puedo volar."
86,Leandro Disconzi (passenger),420.425,420.825,0.400,dale
87,Leandro Disconzi (passenger),421.245,421.585,0.340,dale dale
88,Passengers (multiple),423.425,424.885,1.460,acho que o
89,Passengers (multiple),430.065,435.525,5.460,Fábio não tem contato nenhum.
90,Leandro Disconzi (passenger),435.625,436.865,1.240,dale dale hola gente desculpa
91,Leandro Disconzi (passenger),437.065,439.385,2.320,desculpa para ustedes mas es que es ridículo
92,Leandro Disconzi (passenger),439.825,442.145,2.320,"porque yo toquei el ombro do rapaz,"
93,Leandro Disconzi (passenger),444.105,446.465,2.360,eles estão atrasando o volto a fazer no inferno
94,Leandro Disconzi (passenger),448.025,451.445,3.420,"e pronto, eles podem fazer o que eles queiram é ridículo, tá ridículo,"
95,Leandro Disconzi (passenger),451.965,452.665,0.700,tá ridículo
96,Leandro Disconzi (passenger),452.925,457.325,4.400,"então, olha, vão ter que me levar daqui a força porque eu tô gravando tudo"
97,Leandro Disconzi (passenger),457.745,460.805,3.060,"e não vai ser a primeira vez, só que essa vez vai ser bem pior"
98,Leandro Disconzi (passenger),461.765,462.945,1.180,"porque não, não dá,"
99,Leandro Disconzi (passenger),463.645,464.105,0.460,não dá
100,Passengers (multiple),464.105,466.305,2.200,Eu também acho que o Fábio
101,Leandro Disconzi (passenger),466.305,468.825,2.520,desculpa pra quem tá chegando atrasado olha se
102,Leandro Disconzi (passenger),469.125,469.485,0.360,"dá,"
103,Leandro Disconzi (passenger),470.065,471.025,0.960,mas é que não dá
104,Passengers (multiple),473.885,477.745,3.860,está a suporte. Eu também acho que para a suporte.
105,Leandro Disconzi (passenger),477.745,478.105,0.360,"ah,"
106,Leandro Disconzi (passenger),479.005,479.665,0.660,también né
107,Leandro Disconzi (passenger),481.845,483.565,1.720,"bom, después que a seguridad veio,"
108,Leandro Disconzi (passenger),484.865,486.845,1.980,foi falei que só vou sair daqui a força
109,Leandro Disconzi (passenger),487.785,489.205,1.420,"mas o principal é que agora eu quero,"
110,Leandro Disconzi (passenger),489.925,495.425,5.500,"tá simplesmente a palavra deles contra mim, tá aparecendo o meu divórcio, tá simplesmente a palavra deles contra mim cadê,"
111,Leandro Disconzi (passenger),495.605,496.405,0.800,cadê a prova
112,Leandro Disconzi (passenger),498.265,499.685,1.420,uma testemunha pelo menos
113,Passengers (multiple),499.765,500.865,1.100,A
114,Passengers (multiple),501.985,505.685,3.700,dona ORLA toda a história dele.
115,Passengers (multiple),514.725,517.065,2.340,"Não, mas beleza, você se avisa Não,"
116,Passengers (multiple),518.485,519.184,0.699,"não, não"
117,Passengers (multiple),519.825,523.684,3.859,"Faz com que eu falasse lá, é dois dias Comprei aqui, falou que sim, vou cancelar, né Tá,"
118,Passengers (multiple),545.525,546.645,1.120,depois vou pra eu
119,Passengers (multiple),563.165,568.485,5.320,"Oi Edson, tudo bem? Eu tô embarcando agora, vou chegar aí só no final do dia, tá"
120,Passengers (multiple),568.705,572.385,3.680,"Eu vou conseguir liberar só no final do dia E na segunda, tá"
121,Joaquin Barraza (Latam security staff),662.565,662.745,0.180,"Vienen en camino las autoridades, si deciden que la bajen con ellos, va a tener más problemas y vamos atrasar mas el vuelo al resto de los pasajeros."
122,Joaquin Barraza (Latam security staff),662.745,665.505,2.760,"Vienen en camino las autoridades, si deciden que la bajen con ellos, va a tener más problemas y vamos atrasar mas el vuelo al resto de los pasajeros."
123,Joaquin Barraza (Latam security staff),665.725,670.825,5.100,"Vienen en camino las autoridades, si deciden que la bajen con ellos, va a tener más problemas y vamos atrasar mas el vuelo al resto de los pasajeros."
124,Leandro Disconzi (passenger),670.825,674.905,4.080,"Mira, el detalle es que ellos tienen que tener un motivo para me sacar del vuelo."
125,Joaquin Barraza (Latam security staff),675.565,678.105,2.540,El personal al ingreso le dijo que no podria embarcar
126,Leandro Disconzi (passenger),678.105,679.185,1.080,"Ya pero por que?, por que se el"
127,Leandro Disconzi (passenger),679.565,688.585,9.020,"sobre el vuelo y se pico comigo. y por, es por eso, entiende?"
128,Leandro Disconzi (passenger),688.985,692.125,3.140,"Pero yo quiero entender el por que, por que tiene que tener un motivo legal para me sacar o impedir de viajar"
129,Leandro Disconzi (passenger),692.545,695.045,2.500,"Pero yo quiero entender el por que, por que tiene que tener un motivo legal para me sacar o impedir de viajar"
130,Joaquin Barraza (Latam security staff),695.725,695.765,0.040,por
131,Leandro Disconzi (passenger),695.765,697.345,1.580,"Entonces, ¿entonces, ah?"
132,Joaquin Barraza (Latam security staff),697.505,698.345,0.840,Por su conduta
133,Leandro Disconzi (passenger),698.525,700.525,2.000,¿Y dónde está la prueba de esta conducta?
134,Joaquin Barraza (Latam security staff),700.945,701.825,0.880,esta en la camara
135,Leandro Disconzi (passenger),702.045,703.465,1.420,¿Y dónde está la cámara? Pruébame.
136,Leandro Disconzi (passenger),703.945,704.525,0.580,¿Y dónde está la cámara? Pruébame.
137,Joaquin Barraza (Latam security staff),704.525,705.085,0.560,No se puede traer ahora.
138,Leandro Disconzi (passenger),705.185,705.545,0.360,¿Ah?
139,Joaquin Barraza (Latam security staff),705.645,706.665,1.020,No se puede traer acá.
140,Joaquin Barraza (Latam security staff),707.185,709.405,2.220,Yo solamente le estoy cumpliendo con informales.
141,Leandro Disconzi (passenger),709.925,710.365,0.440,amigo.
142,Joaquin Barraza (Latam security staff),711.425,712.105,0.680,Usted decide.
143,Leandro Disconzi (passenger),712.105,713.785,1.680,"Si, no,"
144,Joaquin Barraza (Latam security staff),713.785,715.785,2.000,Le está afectando el vuelo a todas las personas
145,Leandro Disconzi (passenger),715.785,717.165,1.380,"Mira, usted están afectando..."
146,Leandro Disconzi (passenger),718.505,719.465,0.960,la vida de todos.
147,Leandro Disconzi (passenger),720.005,721.765,1.760,"Amigo, ¿te estás colocando la culpa a mí?"
148,Joaquin Barraza (Latam security staff),722.525,725.065,2.540,"E  que, no se , no ta colaborando"
149,Leandro Disconzi (passenger),725.605,727.285,1.680,¿Ustedes tienen alguna...
150,Leandro Disconzi (passenger),728.265,730.445,2.180,¿Algún testigo que vio yo pegando un funcionario? ¿Tú tenías algún testigo?
151,Leandro Disconzi (passenger),730.985,734.005,3.020,¿Algún testigo que vio yo pegando un funcionario? ¿Tú tenías algún testigo?
152,Joaquin Barraza (Latam security staff),734.005,734.885,0.880,No mencionado nada sobre pegarle a alguien
153,Comandante (Piloto) Ruiz,734.885,738.005,3.120,"Boa tarde, quem fala e o comandante RUIZ"
154,Passengers (multiple),738.125,738.145,0.020,Não
155,Comandante (Piloto) Ruiz,738.545,740.525,1.980,Queria dar as boas vindas .....
156,Leandro Disconzi (passenger),740.525,740.805,0.280,"como no? como tu ta querendo me tirar del vuelo e e, e no necessitamo a llegar neste punto?"
157,Comandante (Piloto) Ruiz,740.805,741.785,0.980,Queria dar as boas vindas .....
158,Leandro Disconzi (passenger),741.785,743.505,1.720,"como no? como tu ta querendo me tirar del vuelo e e, e no necessitamo a llegar neste punto?"
159,Comandante (Piloto) Ruiz,743.505,744.645,1.140,..Teremos um atraso
160,Leandro Disconzi (passenger),744.645,746.625,1.980,"como no? como tu ta querendo me tirar del vuelo e e, e no necessitamo a llegar neste punto?"
161,Comandante (Piloto) Ruiz,746.625,747.685,1.060,Devido a um procedimento de seguranca. Estamos trabajando para resolver el problema.
162,Comandante (Piloto) Ruiz,748.465,751.185,2.720,Devido a um procedimento de seguranca. Estamos trabajando para resolver el problema.
163,Leandro Disconzi (passenger),751.185,761.805,10.620,"Amigo, a fuerza me saquen. Pero yo voy a filmar todo eso por que no esta correcto. Si ustedes tienen al menos una persona, un otro passagero del vuelo que vio yo pegar alguien..."
164,Comandante (Piloto) Ruiz,761.805,762.265,0.460,Tem para ter
165,Leandro Disconzi (passenger),762.265,764.725,2.460,alguém é que viu eu bater em alguém?
166,Comandante (Piloto) Ruiz,764.725,765.645,0.920,o security próximo.
167,Leandro Disconzi (passenger),765.645,767.705,2.060,alguém viu eu bater em alguém aqui?
168,DGAC (Civil Aviation Authority),768.125,769.665,1.540,"Bien , gracias."
169,DGAC (Civil Aviation Authority),769.665,772.345,2.680,"Caballero, mire, el vuelo está retrasado 20 minutos, necesitamos que nos acompañe."
170,Leandro Disconzi (passenger),772.345,778.965,6.620,"Yo entendí, pero ¿por qué? Yo necesito saber por qué me están sacando del vuelo. Porque yo compré el vuelo a precio horario y estoy volando."
171,DGAC (Civil Aviation Authority),779.045,783.565,4.520,"Exacto, está bien. Pero usted tomó opciones que no correspondem"
172,DGAC (Civil Aviation Authority),784.045,784.845,0.800,Tu mismo se hice el check in
173,DGAC (Civil Aviation Authority),785.565,789.905,4.340,"Usted mismo pasó su tarjeta de embarque por la máquina, lo vimos en cámara así que necesitamos que nos acompañe por algo está el personal que hace el trabajo ya"
174,DGAC (Civil Aviation Authority),790.305,792.045,1.740,"Usted mismo pasó su tarjeta de embarque por la máquina, lo vimos en cámara así que necesitamos que nos acompañe por algo está el personal que hace el trabajo ya"
175,Leandro Disconzi (passenger),794.165,794.685,0.520,"Mira, muéstrame eso porque lo que tú estás me informando, que yo hice..."
176,Leandro Disconzi (passenger),794.685,797.125,2.440,"Mira, muéstrame eso porque lo que tú estás me informando, que yo hice..."
177,DGAC (Civil Aviation Authority),797.765,798.305,0.540,DGAC - Lo vimos en cámara así que necesitamos que nos acompañe por algo está el personal que hace el trabajo ya
178,Leandro Disconzi (passenger),798.385,799.865,1.480,¿Lo qué exactamente?
179,DGAC (Civil Aviation Authority),800.325,804.225,3.900,"Usted no le paso la tarjeta de embarque a la funcionaria, lo hizo solo."
180,DGAC (Civil Aviation Authority),804.945,805.945,1.000,tomó decisiones que no correspondem
181,Leandro Disconzi (passenger),805.945,806.765,0.820,¿Qué funcionario?
182,DGAC (Civil Aviation Authority),807.205,809.085,1.880,En la que estaba afuera recibiendo las tarjetas de embarque.
183,Leandro Disconzi (passenger),809.245,809.945,0.700,¿Ahora?
184,DGAC (Civil Aviation Authority),809.945,810.265,0.320,"Si. Necesitamos que lo acompañe, por favor."
185,DGAC (Civil Aviation Authority),812.065,813.305,1.240,"Si. Necesitamos que lo acompañe, por favor."
186,Leandro Disconzi (passenger),813.305,815.865,2.560,"Amigo, muéstrame acá, porque no está condizendo."
187,DGAC (Civil Aviation Authority),815.885,816.505,0.620,¿La vieron la gente?
188,Leandro Disconzi (passenger),816.505,822.045,5.540,"mira, se tu queres se tu queres me sacar me saca aquela força os dois me levando pero me saca a força"
189,DGAC (Civil Aviation Authority),822.045,822.785,0.740,"Caballero, mire,"
190,Leandro Disconzi (passenger),822.785,825.645,2.860,"espera, porque sem ser a força eu não vou, já?"
191,DGAC (Civil Aviation Authority),825.785,826.985,1.200,"me voy a explicarle, mire caballero,"
192,Leandro Disconzi (passenger),826.985,829.585,2.600,tu explica -me como tu queres eu não vou sair daqui entenda -me isso
193,DGAC (Civil Aviation Authority),827.845,827.905,0.060,pero
194,DGAC (Civil Aviation Authority),829.585,833.045,3.460,"escúchame, lo que pasa es lo siguiente, usted tomó una actitud que no corresponde, y hago el funcionario,"
195,Leandro Disconzi (passenger),833.045,834.105,1.060,quiete tu que não...
196,DGAC (Civil Aviation Authority),834.045,836.905,2.860,"pero déjeme terminar de hablar, y luego yo lo escucho,"
197,Leandro Disconzi (passenger),836.905,837.065,0.160,"já,"
198,DGAC (Civil Aviation Authority),837.065,842.285,5.220,"y usted llegó y ingresó sin que yo lo autorizaran, ya le habían indicado que no podía ingresar, pero déjeme terminar,"
199,DGAC (Civil Aviation Authority),842.565,850.345,7.780,"también lo que sucede acá es lo siguiente, el vuelo no va a partir hasta que usted descienda, y si el vuelo se queda aquí, se queda aquí mucho más tiempo, van a tener que descender todos,"
200,Leandro Disconzi (passenger),850.345,853.525,3.180,"já, amigo amigo, infelizmente infelizmente eu"
201,Leandro Disconzi (passenger),854.905,870.225,15.320,"não vou sair daqui se tu queres me sacar daqui me saquem porque eu creio que vocês não estão corretos em fazer o que estão fazendo um funcionário se picou porque eu lhe disse uma pergunta isso tá sendo algo personal já, mirem a câmera mirem o que querem pero"
202,Leandro Disconzi (passenger),871.045,871.465,0.420,não
203,Leandro Disconzi (passenger),871.725,875.385,3.660,querem me sacar daqui me saquem a força porque daí eu tenho algo
204,Leandro Disconzi (passenger),875.925,878.245,2.320,ademais pra ser um caso
205,DGAC (Civil Aviation Authority),878.245,884.225,5.980,"ok, mire, yo entiendo lo que usted me está explicando, correcto, pero eso que está diciendo usted, lo podemos ver acá afuera, si usted tiene la razón,"
206,Leandro Disconzi (passenger),884.225,894.945,10.720,"mira, eu não vou sair daqui porque se eu sair daqui eu perco o voo e eu tô indo a Brasília eu tenho que chegar a Brasília nesse dia e eu comprei pra sair para hoje para esse voo tu queres me sacar daqui me saque a força a"
207,DGAC (Civil Aviation Authority),894.945,895.305,0.360,"correcto,"
208,Leandro Disconzi (passenger),895.725,896.525,0.800,força eu saio
209,DGAC (Civil Aviation Authority),896.465,900.665,4.200,"El Capitan. El capitan que manda nela aeronave, ya  pedio su desembarque."
210,Leandro Disconzi (passenger),900.665,903.225,2.560,Ya. El manda nela aeronave?
211,DGAC (Civil Aviation Authority),903.385,903.985,0.600,Escucha me. Escucha me
212,DGAC (Civil Aviation Authority),904.285,910.405,6.120,"En este caso, hay que descenderlo. Si tu no deciente, al final lo que va a pasar  es que lo avion se demore  y van a tener que deciender todos y el avion no va partir"
213,Leandro Disconzi (passenger),910.805,911.265,0.460,Mira. Mira..
214,DGAC (Civil Aviation Authority),911.265,912.085,0.820,Se usted no se quiera bajar
215,Leandro Disconzi (passenger),912.085,920.925,8.840,"Mira, ae por un caso personal ustedes van hacer eso todo y mucha gente va a perder"
216,Leandro Disconzi (passenger),921.425,921.825,0.400,"perder su vuelo, perder conexion."
217,Leandro Disconzi (passenger),922.425,924.365,1.940,"Mira. si es tan grave lo que hice pra eso pasar, talvez tengan que me tomar a la fuerza"
218,Leandro Disconzi (passenger),924.665,926.285,1.620,"Mira. si es tan grave lo que hice pra eso pasar, talvez tengan que me tomar a la fuerza"
219,Leandro Disconzi (passenger),927.405,929.345,1.940,"Mira. si es tan grave lo que hice pra eso pasar, talvez tengan que me tomar a la fuerza"
220,DGAC (Civil Aviation Authority),929.365,930.685,1.320,Es que como le digo..por eso.
221,Leandro Disconzi (passenger),930.685,931.265,0.580,Es grave!
222,DGAC (Civil Aviation Authority),931.365,933.765,2.400,"Si, no puede llegar e pasar en una aeronave, exactamente."
223,Leandro Disconzi (passenger),933.765,934.925,1.160,Que pasar en una aeronave?
224,DGAC (Civil Aviation Authority),934.925,936.685,1.760,Tiene que autorizar la persona que esta nel embarque
225,Leandro Disconzi (passenger),936.685,938.225,1.540,me autorizaran nel embarque
226,DGAC (Civil Aviation Authority),938.225,939.585,1.360,"No, no le autorizaran. Por eso nos llamaran"
227,Leandro Disconzi (passenger),939.585,940.605,1.020,Como no me autorizaran?
228,DGAC (Civil Aviation Authority),940.985,943.965,2.980,"La persona que esta a cargo, tiene que indicar a usted que pase segun los procedimentos"
229,Leandro Disconzi (passenger),943.965,945.425,1.460,"AH, no.. Espera, espera. Por lo que estoy sendo acusado?"
230,Leandro Disconzi (passenger),945.705,947.665,1.960,"AH, no.. Espera, espera. Por lo que estoy sendo acusado?"
231,DGAC (Civil Aviation Authority),948.125,949.205,1.080,Por que usted ingreso ...
232,Leandro Disconzi (passenger),949.205,950.485,1.280,Ustedes estan escuchando.
233,Leandro Disconzi (passenger),951.005,962.105,11.100,"Que yo no pase mi tarjeta de embarque para el, el chico del porton"
234,Leandro Disconzi (passenger),962.325,965.805,3.480,"Entiendan eso por favor. Ayuden me aqui,  por que esta se quedando ridiculo todo eso."
235,Leandro Disconzi (passenger),966.205,967.785,1.580,"Por que viran las camaras, viran las camaras. Viran que no hay nada en las camaras e ahora estan diciendo que yo no le mostre."
236,Leandro Disconzi (passenger),968.305,975.965,7.660,"Por que viran las camaras, viran las camaras. Viran que no hay nada en las camaras e ahora estan diciendo que yo no le mostre."
237,Leandro Disconzi (passenger),976.485,979.605,3.120,"Gente, por favor! Ta Mira, hagan lo que quieran por que esta tan ridiculo todo. Hagan lo que quieran."
238,DGAC (Civil Aviation Authority),979.845,981.545,1.700,"Por eso vuelvo a le explicar, por eso mismo lo puede resolver. lo puede resolver ae"
239,DGAC (Civil Aviation Authority),981.545,982.425,0.880,"Por eso vuelvo a le explicar, por eso mismo lo puede resolver. lo puede resolver ae"
240,DGAC (Civil Aviation Authority),982.425,983.285,0.860,"Por eso vuelvo a le explicar, por eso mismo lo puede resolver. lo puede resolver ae"
241,Leandro Disconzi (passenger),983.285,983.965,0.680,"Mira, yo no soy estupido. Yo no voy salir da ca. Entiende?"
242,Leandro Disconzi (passenger),984.245,986.625,2.380,"Mira, yo no soy estupido. Yo no voy salir da ca. Entiende?"
243,Leandro Disconzi (passenger),987.045,987.545,0.500,"Mira, yo no soy estupido. Yo no voy salir da ca. Entiende?"
244,Leandro Disconzi (passenger),988.185,989.045,0.860,Hagan lo que quieran
245,Leandro Disconzi (passenger),991.565,992.005,0.440,"Si. quieres ver la tarjeta? Ya, te mostro la tarjeta"
246,Leandro Disconzi (passenger),992.765,1006.885,14.120,Si mi amigo. Y por que la acusacion que intentaran me sacar de aca antes fue de agresion?
247,Passenger (unidentified),1007.225,1008.725,1.500,No tiene una persona que lo comprova...
248,Passenger (unidentified),1008.725,1009.325,0.600,No tiene una persona que lo comprova...
